"","kingdom","phylum","class","order","family","genus","species"
"d1d986015cf54c7d8886858fd74fef75","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"6328b3214f3b8d59283916fedab2233b","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured",NA
"99a30d2e520c0bb462c9d36594b679ef","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"3cfd67ebc9a3bee38e5cb08d810326c0","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"3b08eb12834b4469507d039809d02b0c","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","uncultured Verrucomicrobia bacterium"
"b534f228f848225502af324249cb1b0e","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium","uncultured bacterium"
"2f29afe4168fc347f83311cbef4c40eb","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
"47bd7502eafbec37ab5c5edc2c30ea92","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA
"777554e990414e0dcab17c8ee7906a59","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","uncultured Verrucomicrobia bacterium"
"0a1142b6fbe3773609b746565673b77a","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"8ea74167ca59e3ecd62b63c0cdfa33be","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium faecium"
"6cf8afbf0d869ff11eff09ec17300418","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","Ambiguous_taxa"
"d97ab040e500c795c3525138ca8e9ec6","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured bacterium"
"2633c67cf592b19f938c96e238fd4785","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"889aee32f10e062320fc1dfe1d732ce3","Bacteria","Chloroflexi","KD4-96","Ambiguous_taxa","unclassified","unclassified","unclassified"
"aed69263b970c6c8a3f00f776cfb99a1","Bacteria","Acidobacteria","Subgroup 6","uncultivated soil bacterium clone C112","unclassified","unclassified","unclassified"
"a1b4defc70eaa6536f50e3d09eb72c5f","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"a9e4960224ce566892b418dc7e4b6c3c","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","uncultured bacterium"
"393302612b70003f313c316a9a0af40f","Bacteria","Chloroflexi","KD4-96","Ambiguous_taxa","unclassified","unclassified","unclassified"
"27032b477c433c2d50495b11299b4f13","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"dc0b501ac21c95ad59a77a0337a813d5","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella",NA
"814f76b213af11a078e098bdb1f1036c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"a2d1f7793f3b73ca1b1ef88829a79994","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"ac56c346bf463ed75ee0bb54cfae4dc9","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"c39e7dbb657037c00f7d8eaedc7125c2","Bacteria","Acidobacteria","Subgroup 6","Unknown Order","Unknown Family","Vicinamibacter",NA
"71af7a97b083bcbb4af8e44aa3a86d95","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium","metagenome"
"c7178e247c8596b20b3c613b835cdfee","Bacteria","Chloroflexi","Gitt-GS-136","uncultured bacterium","unclassified","unclassified","unclassified"
"5dfe2e014a86d22eb32e52ff3bc974df","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"fbaa944f9ab2a76bbc3b261fe426970f","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"bffd32b6c0bdd264b9ec5a8d5c637efc","Bacteria","Chloroflexi","KD4-96","uncultured bacterium","unclassified","unclassified","unclassified"
"9b7cf7eaff774f47338cb71df5a4eb9f","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"d7099382fe0947a2c687381c321f6cf8","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"5baba3a494a495a1f8289011e592f2ed","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"7cd98676c814f26556a86ea8805dc567","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","Verrucomicrobiaceae bacterium SCGC AG-212-N21"
"a2428a49796199b937155d4c004bfb8a","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","Ambiguous_taxa"
"afcd41b80d997cd924e6cc7e2f224c9d","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea","uncultured Chloroflexi bacterium"
"e322b138532bdf3cec0b8b062634e032","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
"3e855c39768a1f40e9266a2b25ead782","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured Verrucomicrobiales bacterium"
"ce15be7775dea4968bbf0b8e59994167","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"a6d0a6016ce63f17b695dbb7e810a24d","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"be88b3384198288c66cdadc9d74af034","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia",NA
"d5103e6a25921065db04015e4932ca33","Bacteria","Chloroflexi","Gitt-GS-136","uncultured bacterium","unclassified","unclassified","unclassified"
"a47e07c7f48e5e50440211af5350f9e2","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"add96da95e233879db152d4b04f12dbb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"1f729a00c766bdbe2958df1a45729c76","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","metagenome"
"eddf6e7a2bd201cf7404c1f37612965a","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"90c8784ec39588e5031c9e4950c88efa","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"e251bd64a565e81f093471e6d442ee52","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"9c3065fb37b020097a1aae0ea773a58e","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"eb565d8f7465ac17af2e8e5538c58c82","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","metagenome"
"499170c394cbcc8cc6046692763a8b82","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Ambiguous_taxa","unclassified"
"2938832db8a743dd25139f3d69e54731","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Ambiguous_taxa","unclassified"
"1b92e009f081bb0d61258bf4378d04cd","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"76de1c3009169b31fee0630da52b5a8a","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"3c192685a3b3415808bcc2661d6ba503","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter",NA
"7a27f3143ab49af4cde8e7e7b17cd65e","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"1adb62e4695754f41775408a7e992c40","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium","uncultured bacterium"
"ed9d1a6b58d12b5579c1dd22c1f3805b","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"1ef6ac96f487feff3b84df4540fa20cc","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","Ambiguous_taxa"
"8cbc77977448feb10202ecbbb364f9da","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Ambiguous_taxa"
"e37cc378e357a8ff98e856e3cbfdfdd6","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured","uncultured bacterium"
"4172c5f90e625275f79f1b3ee7ca5c82","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured",NA
"f265261f3a1c8baad1dc66f1023289cc","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Ambiguous_taxa","unclassified"
"ea903299de886ae173aa71832b4abd87","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured",NA
"48fd883a84f1327e7cca29a2fd9f12ea","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
"b6eb1491fd05ed3e4058f281380b3eb5","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"717e13ac76edf71ff3b96d5da701849b","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","unclassified","unclassified"
"24d0d7e63f6d899f90d877b56461b829","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","uncultured soil bacterium"
"f50ce614d383b26aace210f1bc1f3e30","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"f3c535d3d37eef1e7ddab402493ace5b","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","Ambiguous_taxa"
"b8807318bc4ee751e0d626ce9cfe4f69","Bacteria","Chloroflexi","Gitt-GS-136","uncultured Chloroflexi bacterium","unclassified","unclassified","unclassified"
"7903ff05b0ef8bf23341a2ab8a64a9c6","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured bacterium"
"eaf307555b1ef040e7155ad169ba3637","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"76ebc8c3cd45df649d25a8efd1d8bbaa","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"9f7c006af47fa4cc0cfd39cacf1d735e","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","uncultured Verrucomicrobia bacterium"
"f54dc0f0dc5868ec7016e4f8a7d7bf0e","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"2c7aea1b2f68d33de5d9760cb76f136d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured","uncultured verrucomicrobium DEV009"
"a2d3cbedc2c700d824119320ba51cfb1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora",NA
"7b524255aba9f13913a125b53d370457","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"62ea5a116d595de4afcd4fae66f4ead3","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured bacterium"
"39ef7c049a5587849c8f0c15c2d1e363","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium","uncultured Verrucomicrobiales bacterium"
"98dc0827b57b6342dcb99852425de2b7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"9e8137cd3452ee48ce781d88287e27a1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured bacterium"
"b63a80cf0a07ff0e1f1c936dca211efd","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas mexicana"
"0a738898234f92c26396aa0fdf55923c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA
"248aa685be3ce4c9fffab80061c7e9ec","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
"c9b91d19fca61bdb10c582d577882e23","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","Acidobacterium sp. Ac_12_G8"
"8f533d6297baa6858a8aacc3c6185554","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"83d8b9cae0b5b89936c5b14d40d8155b","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"5f1cd91b66894b4abed314e68ae11167","Bacteria","Chloroflexi","KD4-96","uncultured bacterium","unclassified","unclassified","unclassified"
"ce165a2d9da623f8cf47e6946139fce2","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea","uncultured bacterium"
"50e3275b07626d1e9488a2ac6bd0a562","Bacteria","Chloroflexi","KD4-96","Ambiguous_taxa","unclassified","unclassified","unclassified"
"bbe2aa72dc247821524c571810e62f5c","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"c9310fe7c115aa052f30edd3d1bdb36d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"1c282db6e9c0e020bea329b97017aa01","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa",NA
"cb04eb4f607880ce3e17a4ff22aa32d0","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured soil bacterium"
"6fe76b04990aec585ccc314cee3da0a2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"f49d7836a79aad7ef741cb204df70391","Bacteria","BRC1","uncultured Acidobacteria bacterium","unclassified","unclassified","unclassified","unclassified"
"e3afdec10891ec6a395e9d14625b40ff","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured bacterium"
"a528098b9f29a36a001fd7430827b98d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured Verrucomicrobia bacterium"
"c06b487537813b59d38c114ce1ccde03","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"eed2a1859a80b10af9aa0c892e51e1d7","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","metagenome","unclassified"
"659ca9ee9a8c10905b90216a64ddde33","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"dfadbc7d190ee07c371e3156dadea6d5","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"8172218bd3b8e2e5c6816ec8b7e4aac8","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"a34e0fd29297cf5ea2fb9f2b9c0d8b70","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter","Ambiguous_taxa"
"973ea399a502c6991d1df725928bcc38","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea","uncultured soil bacterium"
"a5c3e217b25495c3d12504d58674e2d1","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"34f8971ed4f2a43d8dcdcdbdd69c08fd","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"a9b52d7961254d9f590c6eafc9bd1405","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA
"775411cd0c8a4b6af6fb49b45d7a014e","Bacteria","Acidobacteria","Subgroup 6","uncultured Saccharibacillus sp.","unclassified","unclassified","unclassified"
"86d63aa474be1bb428bd627d5bf3a950","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Asanoa",NA
"9228730f3bfab4dcaf7daf45ef4260c1","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","uncultured bacterium"
"f199399a8958e764fd0d3541836451b0","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"27ce437bb00a67f08027a8935491406b","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium",NA
"e5400356daabbc5a41f935af70513043","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"adcdf0bc687b7afef992b87c05bc99c5","Bacteria","Chloroflexi","KD4-96","Ambiguous_taxa","unclassified","unclassified","unclassified"
"aec18ac492c71a6ff76d6943c99bf39b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"379b7504dd07d245f509efdfb6620b34","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"f430c8e90c1e2450b3d0c3ef32f11b6b","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured bacterium","unclassified","unclassified"
"133db7643571132e9cf0d800c5141a3f","Bacteria","Acidobacteria","Subgroup 6","unidentified","unclassified","unclassified","unclassified"
"dc3a796dfdcbf360ff1b83da75ec9f42","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"6d9835994e008526fb9b2bf24fcd403b","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","uncultured Verrucomicrobia bacterium"
"84979f87d8160d3d56d321c06b450443","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"2c4bad91ff28b9dad58a6e7810a8158b","Bacteria","Chloroflexi","KD4-96","Ambiguous_taxa","unclassified","unclassified","unclassified"
"0236af9d73f3e66a19570ebeb472ea0a","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","uncultured Acidobacteria bacterium"
"7748c76599b3c442e2ded693ee42e01f","Bacteria","Chloroflexi","Gitt-GS-136","uncultured Chloroflexi bacterium","unclassified","unclassified","unclassified"
"8efd3fa15f822cc1a3f5b03ae98ce696","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Blastocatella",NA
"5ae4ad7430f005c41d8870b923862916","Bacteria","Acidobacteria","Subgroup 6","Unknown Order","Unknown Family","Luteitalea",NA
"d40874dcc14285d0adac3c15b1a1ca51","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter",NA
"adc6975e6e392a57ec46672da14ed896","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"cba9c6992855d8012ecdea309b45a4e7","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"e3a45ae415422a489ede7322ab23106f","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"c25771f383162eac51544cd1d17d6d85","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"e490b458e7d1477b3d791edec263f981","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"fbbb6cfe51d3999c8d8e2e6839f8661e","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured bacterium"
"a3cd449e3229505dd602362a7d31066a","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"c63198b910f4a53ff35bb6f500bcf97a","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
